Player Name,Likes,Inj,Pos,Salary,Team,Opp,Rest,PS,USG,PER,Opp Pace,Opp DEff,Opp DvP,L2 FGA,L5 FGA,S FGA,L2 Min,L5 Min,S Min,L5 FP,S FP,Floor FP,Ceil FP,Proj Min,Proj FP,Proj Val,Actual Min,Actual FP,Actual Val
Giannis Antetokounmpo,7,,SF,12700,MIL,@CLE,1,121,37,33,102,110,-1%,27,24,20,37,33,33,64.0,61.5,49.7,73.4,33.0,62.6,4.9,32,59.4,4.7
Luka Doncic,21,,PG,12200,DAL,@PHO,2,117,38,32,105,106,1%,22,20,20,35,34,35,57.6,55.8,44.0,67.5,35.0,57.2,4.7,37.5,70.3,5.8
LeBron James,14,,SF,11400,LAL,WAS,1,124,34,28,107,113,3%,21,22,20,36,37,36,52.3,53.2,40.3,66.1,35.5,57.3,5.0,24.6,46.1,4.0
Anthony Davis,10,,PF,11300,LAL,WAS,1,124,30,28,107,113,2%,25,21,19,35,35,35,58.6,52.9,42.7,63.1,35.0,58.1,5.1,27.4,53.6,4.7
Joel Embiid,4,,C,10200,PHI,@NYK,1,108,32,25,100,110,-6%,15,15,16,32,30,30,42.5,44.4,30.9,57.9,33.0,50.6,5.0,35.5,56.4,5.5
Kawhi Leonard,6,,PF,10000,LAC,@SAS,1,116,36,25,103,112,9%,20,20,21,28,33,33,43.5,49.2,40.5,57.9,32.0,43.4,4.3,30.5,43.9,4.4
Kyrie Irving,1,Q,PG,9700,BKN,BOS,1,104,35,26,102,101,-14%,25,24,24,36,36,35,47.8,50.5,38.8,62.2,0.0,0.0,0.0,0,0.0,0.0
Andre Drummond,4,,C,9600,DET,CHA,1,111,24,22,102,110,9%,9,11,14,34,33,35,41.6,49.6,35.3,63.9,34.5,50.3,5.2,37.6,47.3,4.9
Trae Young,5,,PG,9600,ATL,@IND,1,106,36,23,102,101,-6%,26,22,21,35,35,36,45.1,46.9,32.9,60.9,34.5,45.5,4.7,42.6,56.2,5.9
Paul George,3,,SF,9600,LAC,@SAS,1,116,34,26,103,112,9%,18,18,17,29,32,29,40.2,40.4,31.2,49.6,33.0,41.5,4.3,32.7,14.1,1.5
Brad Beal,3,,SG,9500,WAS,@LAL,1,113,32,23,103,100,2%,17,19,22,35,38,38,40.9,46.1,33.2,59.0,38.5,47.3,5.0,30.4,38.1,4.0
Pascal Siakam,2,,SF,9400,TOR,@ORL,1,106,29,21,100,103,-3%,21,18,20,35,36,37,44.6,43.8,34.1,53.5,38.5,44.4,4.7,39.5,36.1,3.8
Jimmy Butler,2,P,SG,9400,MIA,GSW,1,111,25,24,104,111,5%,12,12,13,31,33,34,42.9,43.3,34.3,52.3,33.5,39.7,4.2,27.8,36.0,3.8
Damian Lillard,5,,PG,9300,POR,CHI,1,117,29,26,105,106,-13%,18,16,20,33,36,38,37.4,47.0,37.3,56.7,36.5,43.2,4.6,36.7,35.4,3.8
