Date,Position,"LastName, FirstName",FD PTS,Salary,Team,Opp Team,Score,Min,Statline
2016-10-25,PG,"PGLillard, Damian",54.8,"8,900",por,v uta, 113-104,35:25,   39pt 9rb 6as 4to 4trey 13-20fg 9-9ft
2016-10-25,PG,"PGIrving, Kyrie",41.4,"7,100",cle,v nyk, 117-88,29:48,   29pt 2rb 4as 2st 4trey 12-22fg 1-1ft
2016-10-25,SG,"SGHood, Rodney",35.9,"5,400",uta,@ por, 104-113,37:39,   26pt 2rb 1as 2st 1bl 3trey 9-17fg 5-5ft
2016-10-25,PG,"PGHill, George",35.4,"5,600",uta,@ por, 104-113,38:45,   19pt 2rb 6as 2st 1bl 1to 1trey 7-18fg 4-4ft
2016-10-25,PG,"PGCurry, Stephen",31.6,"9,300",gsw,v sas, 100-129,34:06,   26pt 3rb 4as 4to 3trey 9-18fg 5-6ft
2016-10-25,SG,"SGMcCollum, CJ",30.9,"6,900",por,v uta, 113-104,34:36,   25pt 2rb 3as 1st 3to 2trey 8-16fg 7-7ft
2016-10-25,PG,"PGMills, Patty",27.7,"3,900",sas,@ gsw, 129-100,17:51,   11pt 1rb 5as 4st 3trey 4-9fg
2016-10-25,SG,"SGCrabbe, Allen",24.1,"4,200",por,v uta, 113-104,29:09,   18pt 3rb 3as 2to 4trey 6-10fg 2-2ft
2016-10-25,SG,"SGGinobili, Manu",21,"3,600",sas,@ gsw, 129-100,20:52,   10pt 5rb 2as 1st 2trey 4-10fg
2016-10-25,SG,"SGHoliday, Justin",20.2,"3,800",nyk,@ cle, 88-117,26:27,   8pt 6rb 2as 1st 2trey 2-7fg 2-2ft
2016-10-25,PG,"PGRose, Derrick",20.1,"6,000",nyk,@ cle, 88-117,29:35,   17pt 3rb 1as 1bl 4to 1trey 7-17fg 2-2ft
2016-10-25,PG,"PGJennings, Brandon",17.1,"4,500",nyk,@ cle, 88-117,21:14,   7pt 3rb 5as 1to 1-7fg 5-6ft
2016-10-25,SG,"SGSmith, JR",16.6,"4,500",cle,v nyk, 117-88,25:14,   8pt 3rb 2as 1st 2trey 3-13fg
2016-10-25,PG,"PGParker, Tony",16.6,"5,000",sas,@ gsw, 129-100,26:28,   9pt 3rb 4as 2to 1trey 4-9fg
2016-10-25,PG,"PGMack, Shelvin",15.2,"4,600",uta,@ por, 104-113,14:48,   4pt 1rb 4as 2st 2-5fg
2016-10-25,SG,"SGThompson, Klay",14.2,"6,500",gsw,v sas, 100-129,33:21,   11pt 1rb 2as 1to 1trey 5-13fg
2016-10-25,SG,"SGLiggins, DeAndre",13.1,"3,500",cle,v nyk, 117-88,12:00,   4pt 3rb 3as 1bl 1to 2-3fg
2016-10-25,SG,"SGClark, Ian",10,"3,500",gsw,v sas, 100-129,13:22,   5pt 2as 1bl 2-8fg 1-2ft
2016-10-25,SG,"SGMcCaw, Patrick",9,"3,500",gsw,v sas, 100-129,9:00,   2pt 2as 1st 1bl 1-3fg
2016-10-25,SG,"SGShumpert, Iman",8.9,"4,000",cle,v nyk, 117-88,13:51,   2pt 2rb 3as 1bl 2to 1-3fg
2016-10-25,PG,"PGExum, Dante",7.4,"3,500",uta,@ por, 104-113,8:20,   5pt 2rb 2-4fg 1-1ft
2016-10-25,PG,"PGBaker, Ron",6.2,"3,500",nyk,@ cle, 88-117,6:44,   5pt 1rb 1trey 2-3fg
2016-10-25,PG,"PGLivingston, Shaun",5.4,"3,700",gsw,v sas, 100-129,12:54,   2pt 2rb 1st 1to 1-3fg
2016-10-25,SG,"SGJones, James",5,"3,500",cle,v nyk, 117-88,5:30,   5pt 1trey 1-2fg 2-2ft
2016-10-25,SG,"SGLee, Courtney",3.6,"3,900",nyk,@ cle, 88-117,19:37,   0pt 3rb 1bl 2to 0-5fg
2016-10-25,SG,"SGMcRae, Jordan",2,"3,500",cle,v nyk, 117-88,5:50,   2pt 1-4fg
2016-10-25,PG,"PGLaprovittola, Nicolas",2,"3,500",sas,@ gsw, 129-100,3:41,   0pt 2as 1to
2016-10-25,SG,"SGVujacic, Sasha",1.5,"3,500",nyk,@ cle, 88-117,3:18,   1pt 1as 1to 0-1fg 1-2ft
2016-10-25,SG,"SGForbes, Bryn",0,"3,500",sas,@ gsw, 129-100,3:41,   0pt
2016-10-25,PG,"PGNapier, Shabazz",0,"3,500",por,v uta, 113-104,0,   
2016-10-25,PG,"PGNeto, Raul",0,"3,500",uta,@ por, 104-113,0,   
2016-10-25,SG,"SGConnaughton, Pat",0,"3,500",por,v uta, 113-104,0,   
2016-10-25,SG,"SGGreen, Danny",0,"4,400",sas,@ gsw, 129-100,0,   
2016-10-25,SG,"SGBurks, Alec",0,"4,500",uta,@ por, 104-113,0,   
2016-10-25,PG,"PGQuarterman, Tim",0,"3,500",por,v uta, 113-104,0,   
2016-10-25,PG,"PGMurray, Dejounte",0,"3,500",sas,@ gsw, 129-100,0,   
2016-10-25,PG,"PGFelder, Kay",0,"3,900",cle,v nyk, 117-88,0,   
2016-10-25,SF,"SFLeonard, Kawhi",53.5,"7,900",sas,@ gsw, 129-100,32:03,   35pt 5rb 3as 5st 2to 10-21fg 15-15ft
2016-10-25,SF,"SFDurant, Kevin",53,"9,300",gsw,v sas, 100-129,36:36,   27pt 10rb 4as 2st 2bl 1trey 11-18fg 4-5ft
2016-10-25,PF,"PFGreen, Draymond",51.4,"8,200",gsw,v sas, 100-129,32:37,   18pt 12rb 6as 5st 1bl 2to 2trey 7-14fg 2-2ft
2016-10-25,SF,"SFJames, LeBron",51.2,"9,600",cle,v nyk, 117-88,32:23,   19pt 11rb 14as 1bl 4to 9-14fg 1-2ft
2016-10-25,PF,"PFAldridge, LaMarcus",47.3,"7,400",sas,@ gsw, 129-100,35:11,   26pt 14rb 3as 1st 2to 1trey 10-20fg 5-6ft
2016-10-25,PF,"PFLove, Kevin",44.4,"6,800",cle,v nyk, 117-88,24:59,   23pt 12rb 2as 3st 2to 2trey 6-15fg 9-12ft
2016-10-25,SF,"SFJohnson, Joe",38.3,"5,400",uta,@ por, 104-113,30:30,   29pt 4rb 3as 1st 2to 3trey 12-16fg 2-2ft
2016-10-25,SF,"SFSimmons, Jonathon",29.3,"3,500",sas,@ gsw, 129-100,28:10,   20pt 4rb 3as 1bl 2to 3trey 8-14fg 1-3ft
2016-10-25,PF,"PFPorzingis, Kristaps",28.4,"6,900",nyk,@ cle, 88-117,32:48,   16pt 7rb 1st 2bl 2to 3trey 5-13fg 3-6ft
2016-10-25,SF,"SFAnthony, Carmelo",27.5,"8,000",nyk,@ cle, 88-117,30:05,   19pt 5rb 3as 1st 4to 1trey 8-18fg 2-2ft
2016-10-25,SF,"SFJefferson, Richard",21.3,"3,500",cle,v nyk, 117-88,25:47,   13pt 4rb 1as 2st 2to 2trey 5-7fg 1-2ft
2016-10-25,SF,"SFTurner, Evan",20.5,"5,600",por,v uta, 113-104,26:01,   3pt 5rb 5as 1st 1bl 1-7fg 1-1ft
2016-10-25,PF,"PFDavis, Ed",17.9,"3,900",por,v uta, 113-104,24:07,   6pt 7rb 1as 1bl 2-3fg 2-2ft
2016-10-25,SF,"SFDunleavy, Mike",17.8,"3,600",cle,v nyk, 117-88,22:32,   4pt 4rb 2as 3st 2-3fg
2016-10-25,PF,"PFAminu, Al",16.3,"5,000",por,v uta, 113-104,28:24,   9pt 4rb 1as 1st 1to 2trey 3-6fg 1-1ft
2016-10-25,PF,"PFLee, David",14.2,"4,000",sas,@ gsw, 129-100,11:08,   6pt 6rb 2as 2to 2-4fg 2-2ft
2016-10-25,PF,"PFVonleh, Noah",14.2,"3,500",por,v uta, 113-104,16:06,   11pt 1rb 1bl 1trey 5-5fg
